Артикул;Наименование товара;Единица измерения;Цена;Поставщик;Производитель;Категория товара;Действующая скидка;Кол-во на складе;Описание товара;Фото
PMEZMH;1;1;440;1;1;1;8;34;Цемент Евроцемент 1 Д0 ЦЕМ I 42,5 50 кг;PMEZMH.jpg
BPV4MM;2;1;8;2;2;1;8;2;Пленка техническая полиэтиленовая Изостронг 60 мк 3 м рукав 1,5 м, пог.м;BPV4MM.jpg
JVL42J;2;1;13;2;2;1;4;34;Пленка техническая полиэтиленовая Изостронг 100 мк 3 м рукав 1,5 м, пог.м;JVL42J.jpg
F895RB;3;1;102;3;3;1;6;7;Песок строительный 50 кг;F895RB.jpg
3XBOTN;4;1;110;4;4;1;5;21;Керамзит фракция 10-20 мм 0,05 куб.м;3XBOTN.jpg
3L7RCZ;5;1;7400;5;5;2;2;20;Газобетон 5 100х250х625 мм D400;3L7RCZ.jpg
S72AM3;6;1;500;6;6;2;5;35;Пазогребневая плита ВОЛМА Гидро 667х500х80 мм полнотелая;S72AM3.jpg
2G3280;7;1;795;7;7;2;9;20;Угол наружный Vinylon 3050 мм серо-голубой;2G3280.jpg
MIO8YV;8;1;30;6;6;2;9;31;Кирпич рядовой Боровичи полнотелый М150 250х120х65 мм 1NF;MIO8YV.jpg
UER2QD;9;1;25;3;3;2;8;27;Скоба для пазогребневой плиты 3 С1 120х100 мм;UER2QD.jpg
ZR70B4;8;1;16;8;8;2;3;0;Кирпич рядовой силикатный Павловский завод полнотелый М200 250х120х65 мм 1NF;
LPDDM4;10;1;500;3;3;3;6;38;Штукатурка гипсовая 3 Ротбанд 30 кг;
LQ48MW;10;1;462;9;9;3;6;33;Штукатурка гипсовая 3 МП-75 машинная 30 кг;
O43COU;11;1;750;6;6;3;1;16;Шпаклевка полимерная Weber.vetonit LR + для сухих помещений белая 20 кг;
M26EXW;12;1;340;3;3;3;8;0;Клей для плитки, керамогранита и камня Крепс Усиленный серый (класс С1) 25 кг;
K0YACK;13;1;160;4;4;3;8;19;Смесь цементно-песчаная (ЦПС) 300 по ТУ MixMaster Универсал 25 кг;
ASPXSG;14;1;711;9;9;3;10;20;Ровнитель (наливной пол) финишный Weber.vetonit 4100 самовыравнивающийся высокопрочный 20 кг;
ZKQ5FF;15;1;65;10;10;4;6;6;Лезвие для ножа Hesler 18 мм прямое (10 шт.);
4WZEOT;15;1;110;11;11;4;6;17;Лезвие для ножа Armero 18 мм прямое (10 шт.);
4JR1HN;16;1;26;10;10;4;6;7;Шпатель малярный 100 мм с пластиковой ручкой;
Z3XFSP;17;1;63;10;10;4;8;5;Нож строительный Hesler 18 мм с ломающимся лезвием пластиковый корпус;
I6MH89;18;1;326;12;12;4;12;3;Валик Wenzo Roma полиакрил 250 мм ворс 18 мм для красок грунтов и антисептиков на водной основе с рукояткой;
83M5ME;19;1;122;11;11;4;9;26;Кисть плоская смешанная щетина 100х12 мм для красок и антисептиков на водной основе;
61PGH3;20;1;184;13;13;5;6;25;Очки защитные Delta Plus KILIMANDJARO (KILIMGRIN) открытые с прозрачными линзами;
GN6ICZ;21;1;154;14;14;5;15;8;Каска защитная Исток (КАС001О) оранжевая;
Z3LO0U;22;1;228;15;15;5;9;11;Очки защитные Delta Plus RUIZ (RUIZ1VI) закрытые с прозрачными линзами;
QHNOKR;23;1;251;14;14;5;2;22;Маска защитная Исток (ЩИТ001) ударопрочная и термостойкая;
EQ6RKO;24;1;36;16;16;5;17;22;Подшлемник для каски одноразовый;
81F1WG;21;1;1500;17;17;5;2;13;Каска защитная Delta Plus BASEBALL DIAMOND V UP (DIAM5UPBCFLBS) белая;
0YGHZ7;22;1;700;16;16;5;9;36;Очки защитные Husqvarna Clear (5449638-01) открытые с прозрачными линзами;
