Номер заказа;Артикул заказа;Дата заказа;Дата доставки;Адрес пункта выдачи;ФИО авторизированного клиента;Код для получения;Статус заказа
1;PMEZMH, 2, BPV4MM, 2;2025-02-27;2025-04-20;1;1;901;1
2;JVL42J, 1, F895RB, 1;2024-09-28;2025-04-21;11;2;902;1
3;3XBOTN, 10, 3L7RCZ, 10;2025-03-21;2025-04-22;2;3;903;1
4;S72AM3, 5, 2G3280, 4;2025-02-20;2025-04-23;11;4;904;1
5;MIO8YV, 2, UER2QD, 2;2025-03-17;2025-04-24;2;1;905;1
6;ZR70B4, 1, LPDDM4, 1;2025-03-01;2025-04-25;15;2;906;1
7;LQ48MW, 10, O43COU8, 10;30.02.2025;2025-04-26;3;3;907;1
8;M26EXW, 5, K0YACK, 4;2025-03-31;2025-04-27;19;4;908;2
9;ASPXSG, 5, ZKQ5FF, 1;2025-04-02;2025-04-28;5;1;909;2
10;4WZEOT, 5, 4JR1HN, 5;2025-04-03;2025-04-29;19;2;910;2
